id;codigo_actividad;nombre;fec_inicio;fec_fin;con_proveedor
1;64937;pricing structure program;2020-04-28T20:05:19;2020-04-29T04:31:40;false
2;44278;transitional;2020-04-28T23:12:02;2020-04-29T00:22:37;true
3;49711;Maine Lodge circuit;2020-04-29T03:58:02;2020-04-28T20:21:57;true
4;58948;Chips virtual;2020-04-29T18:05:09;2020-04-29T00:07:21;true
5;35400;Cameroon;2020-04-29T12:03:43;2020-04-29T10:18:29;true
6;67766;Planner Technician;2020-04-29T00:03:18;2020-04-29T12:42:20;true
7;40291;Liaison iterate;2020-04-29T15:34:58;2020-04-29T15:17:27;false
8;25480;digital;2020-04-29T17:34:01;2020-04-28T21:00:48;false
9;58224;Concrete Robust;2020-04-29T08:17:18;2020-04-28T22:41:49;true
10;82452;stable Salad;2020-04-28T21:39:29;2020-04-29T16:47:22;true
