id;codigo;nombre;fec_inicio;fec_fin;estado;tipo;con_proveedor
1;92478;Tasty generating programming;2020-04-27T13:47:57;2020-04-27T03:35:20;Belize Greens;FTP;true
2;17588;firmware;2020-04-27T10:06:55;2020-04-27T02:34:45;Incredible Granite Hat Borders;compressing;true
3;69152;Programmable;2020-04-27T14:04:05;2020-04-27T08:23:02;SSL;Ergonomic;false
4;46858;Maldives engage Group;2020-04-27T21:23:05;2020-04-27T19:42:35;Mouse;Object-based red Integration;false
5;4435;Investor Guyana Dollar;2020-04-28T00:23:04;2020-04-27T09:46:15;web-readiness;deposit revolutionary UAE Dirham;false
6;56689;Division;2020-04-27T16:09:59;2020-04-27T09:08:02;Senior JBOD Rubber;gold;true
7;45903;schemas Gourde US Dollar quantify;2020-04-27T15:08:09;2020-04-27T02:52:18;Handcrafted Frozen Cheese Intelligent Metal Tuna infrastructure;Shoes;true
8;32917;Northern Mariana Islands granular user-facing;2020-04-27T15:24:47;2020-04-27T14:36:29;ubiquitous Quality;invoice;true
9;93291;policy Avon HDD;2020-04-27T09:06:32;2020-04-27T10:26:52;Global Pike Switchable;Manager South Africa Angola;false
10;31752;system engine;2020-04-27T22:47:50;2020-04-27T10:22:25;Administrator;Chair;false
